PROVINSI,tpt,tpak,poverty_rate,hdi,cluster,cluster_label
ACEH,5.95,64.57166666666666,13.540000000000001,74.50333333333333,0,Cluster 0
BALI,4.1587499999999995,76.22375,4.0687500000000005,77.5275,1,Cluster 1
BANTEN,8.19875,64.82875,5.953749999999999,75.3675,0,Cluster 0
BENGKULU,3.45125,71.25625,13.44,73.86,1,Cluster 1
DI YOGYAKARTA,3.8962499999999998,73.57875,10.95125,80.7625,1,Cluster 1
DKI JAKARTA,7.54875,63.707499999999996,4.33875,83.03,0,Cluster 0
GORONTALO,3.0637499999999998,69.095,14.528749999999999,70.735,1,Cluster 1
JAMBI,4.65,68.05375,7.42875,73.2975,1,Cluster 1
JAWA BARAT,8.2575,66.09,7.4825,73.7675,0,Cluster 0
JAWA TENGAH,5.49625,71.2425,10.285,72.9375,1,Cluster 1
JAWA TIMUR,4.95375,71.26125,10.02,74.20750000000001,1,Cluster 1
KALIMANTAN BARAT,5.0825000000000005,69.16,6.4887500000000005,69.91,1,Cluster 1
KALIMANTAN SELATAN,4.3425,69.26375,4.225,74.1925,1,Cluster 1
KALIMANTAN TENGAH,4.140000000000001,68.02000000000001,5.22,73.36,1,Cluster 1
KALIMANTAN TIMUR,6.1850000000000005,65.79499999999999,5.8475,77.59,0,Cluster 0
KALIMANTAN UTARA,4.3025,67.41375,6.0525,72.38499999999999,1,Cluster 1
KEP. BANGKA BELITUNG,4.49,68.59375,4.8425,73.66,1,Cluster 1
KEP. RIAU,8.1375,67.75250000000001,5.3175,78.6275,0,Cluster 0
LAMPUNG,4.359999999999999,70.98375,11.05875,72.0,1,Cluster 1
MALUKU,6.470000000000001,64.19125,16.17875,72.27250000000001,0,Cluster 0
MALUKU UTARA,4.56875,66.1475,6.2525,70.44500000000001,1,Cluster 1
NUSA TENGGARA BARAT,3.35625,71.50125,12.7775,71.8125,1,Cluster 1
NUSA TENGGARA TIMUR,3.30875,74.55250000000001,19.57,67.8625,1,Cluster 1
PAPUA,3.23125,77.215,21.13375,62.394999999999996,1,Cluster 1
PAPUA BARAT,5.62375,68.72375,21.21,66.9425,1,Cluster 1
PAPUA BARAT DAYA,5.62375,68.72375,18.69875,66.9425,1,Cluster 1
PAPUA PEGUNUNGAN,3.23125,77.215,28.8825,62.394999999999996,1,Cluster 1
PAPUA SELATAN,3.23125,77.215,21.786250000000003,62.394999999999996,1,Cluster 1
PAPUA TENGAH,3.23125,77.215,27.45125,62.394999999999996,1,Cluster 1
RIAU,4.38875,64.9925,6.58625,74.56,0,Cluster 0
SULAWESI BARAT,2.81,70.1525,11.072500000000002,69.3575,1,Cluster 1
SULAWESI SELATAN,5.11875,65.27250000000001,8.15625,74.13499999999999,0,Cluster 0
SULAWESI TENGAH,3.37875,69.82375,11.708749999999998,71.2175,1,Cluster 1
SULAWESI TENGGARA,3.6225,68.9025,10.998750000000001,72.52,1,Cluster 1
SULAWESI UTARA,6.505,63.160000000000004,7.06,74.6575,0,Cluster 0
SUMATERA BARAT,6.165,69.07124999999999,5.768750000000001,75.25,0,Cluster 0
SUMATERA SELATAN,4.6000000000000005,69.7825,11.19125,72.6675,1,Cluster 1
SUMATERA UTARA,5.77875,70.22375,7.79125,74.6525,0,Cluster 0
