province,year,poverty_rate
ACEH,2025,13.258760549623286
BALI,2025,4.10944242090958
BANTEN,2025,5.531373050056949
BENGKULU,2025,12.947086341141592
DI YOGYAKARTA,2025,10.306067231098943
DKI JAKARTA,2025,4.322059274920724
GORONTALO,2025,13.890714061753906
JAMBI,2025,6.9950116375305535
JAWA BARAT,2025,7.029189232318774
JAWA TENGAH,2025,9.841301003027425
JAWA TIMUR,2025,9.239117105692122
KALIMANTAN BARAT,2025,6.232494133244873
KALIMANTAN SELATAN,2025,4.142119646618274
KALIMANTAN TENGAH,2025,5.123452188601152
KALIMANTAN TIMUR,2025,5.4289258643004805
KALIMANTAN UTARA,2025,5.55792816289919
KEP. BANGKA BELITUNG,2025,4.806080686575117
KEP. RIAU,2025,4.756003688666114
LAMPUNG,2025,10.296969739717031
MALUKU,2025,15.824907276308409
MALUKU UTARA,2025,6.138724946728249
NUSA TENGGARA BARAT,2025,11.937686826956629
NUSA TENGGARA TIMUR,2025,18.90132724326496
PAPUA,2025,17.84793199884537
PAPUA BARAT,2025,20.612489632671245
PAPUA BARAT DAYA,2025,17.69029126369
PAPUA PEGUNUNGAN,2025,27.876475804003015
PAPUA SELATAN,2025,18.13102683570966
PAPUA TENGAH,2025,27.54861161182239
RIAU,2025,6.457948508507761
SULAWESI BARAT,2025,10.915220205646875
SULAWESI SELATAN,2025,7.614201263314487
SULAWESI TENGAH,2025,11.08225282612084
SULAWESI TENGGARA,2025,10.920822396700721
SULAWESI UTARA,2025,6.824214502976964
SUMATERA BARAT,2025,5.608916629731864
SUMATERA SELATAN,2025,10.665634043271934
SUMATERA UTARA,2025,7.453847439888915
ACEH,2026,12.953304651584995
BALI,2026,4.267468822534465
BANTEN,2026,5.3104090429737365
BENGKULU,2026,12.740637658940944
DI YOGYAKARTA,2026,10.229282604043206
DKI JAKARTA,2026,4.413778138983955
GORONTALO,2026,13.622153320842601
JAMBI,2026,7.014614716052886
JAWA BARAT,2026,6.957999913833603
JAWA TENGAH,2026,9.29648338850356
JAWA TIMUR,2026,9.215835810928617
KALIMANTAN BARAT,2026,6.13684622204313
KALIMANTAN SELATAN,2026,4.29867877656634
KALIMANTAN TENGAH,2026,5.005168253786472
KALIMANTAN TIMUR,2026,5.207550264129829
KALIMANTAN UTARA,2026,5.300204685367397
KEP. BANGKA BELITUNG,2026,4.892534192185591
KEP. RIAU,2026,4.524416214629764
LAMPUNG,2026,10.211688322161407
MALUKU,2026,15.572487100832973
MALUKU UTARA,2026,6.151234996294331
NUSA TENGGARA BARAT,2026,11.457991317654404
NUSA TENGGARA TIMUR,2026,17.504648132138175
PAPUA,2026,18.021136815925672
PAPUA BARAT,2026,19.947868755426555
PAPUA BARAT DAYA,2026,17.59045803225159
PAPUA PEGUNUNGAN,2026,28.68488845533926
PAPUA SELATAN,2026,18.14429209600661
PAPUA TENGAH,2026,27.1074380735773
RIAU,2026,6.102811612229024
SULAWESI BARAT,2026,10.953807221533156
SULAWESI SELATAN,2026,7.419861766296364
SULAWESI TENGAH,2026,11.04870482109827
SULAWESI TENGGARA,2026,10.951751094508756
SULAWESI UTARA,2026,6.567449220852202
SUMATERA BARAT,2026,5.541003122515972
SUMATERA SELATAN,2026,10.264975998045706
SUMATERA UTARA,2026,7.518284212110865
