province,fixed_effect
KALIMANTAN UTARA,-3.1086244689504383e-15
DI YOGYAKARTA,-3.9968028886505635e-15
KEP. RIAU,-5.773159728050814e-15
SULAWESI UTARA,-6.661338147750939e-15
ACEH,-7.105427357601002e-15
BENGKULU,-7.549516567451064e-15
PAPUA BARAT DAYA,-7.993605777301127e-15
BANTEN,-8.43769498715119e-15
PAPUA TENGAH,-8.881784197001252e-15
SULAWESI TENGAH,-8.881784197001252e-15
PAPUA SELATAN,-8.881784197001252e-15
JAWA TIMUR,-8.881784197001252e-15
KEP. BANGKA BELITUNG,-9.325873406851315e-15
SUMATERA SELATAN,-9.769962616701378e-15
PAPUA BARAT,-9.769962616701378e-15
MALUKU UTARA,-9.769962616701378e-15
SULAWESI SELATAN,-1.021405182655144e-14
JAMBI,-1.021405182655144e-14
LAMPUNG,-1.0658141036401503e-14
PAPUA,-1.0658141036401503e-14
NUSA TENGGARA BARAT,-1.1546319456101628e-14
JAWA TENGAH,-1.199040866595169e-14
NUSA TENGGARA TIMUR,-1.2434497875801753e-14
KALIMANTAN TENGAH,-1.2434497875801753e-14
BALI,-1.2434497875801753e-14
PAPUA PEGUNUNGAN,-1.2434497875801753e-14
DKI JAKARTA,-1.3322676295501878e-14
JAWA BARAT,-1.3322676295501878e-14
SULAWESI TENGGARA,-1.3766765505351941e-14
KALIMANTAN TIMUR,-1.4210854715202004e-14
SUMATERA BARAT,-1.4654943925052066e-14
RIAU,-1.4654943925052066e-14
GORONTALO,-1.4654943925052066e-14
SUMATERA UTARA,-1.509903313490213e-14
KALIMANTAN SELATAN,-1.5987211554602254e-14
SULAWESI BARAT,-1.5987211554602254e-14
KALIMANTAN BARAT,-1.8207657603852567e-14
MALUKU,-1.865174681370263e-14
