year,sentiment,tweet_count,avg_confidence,total_like,total_retweet,total_tweets,sentiment_percent
2021,negative,22,0.775694028897719,169,49,94,23.4
2021,neutral,68,0.8947232711841079,393,150,94,72.34
2021,positive,4,0.6296163499355316,15,7,94,4.26
2022,negative,29,0.8969062957270392,550,104,100,29.0
2022,neutral,64,0.872729494702071,172,90,100,64.0
2022,positive,7,0.7859765291213989,94,29,100,7.0
2023,negative,26,0.8325642450497701,44,22,100,26.0
2023,neutral,64,0.8549634930677712,267,104,100,64.0
2023,positive,10,0.6768282294273377,2218,912,100,10.0
2024,negative,18,0.8482536408636305,864,112,87,20.69
2024,neutral,64,0.8711000666953623,192,30,87,73.56
2024,positive,5,0.5794546604156494,6,3,87,5.75
2025,negative,30,0.9090155402819315,62,14,100,30.0
2025,neutral,62,0.8680553695847911,307,145,100,62.0
2025,positive,8,0.7334618344902992,26,0,100,8.0
2026,negative,18,0.8704904880788591,26,4,40,45.0
2026,neutral,19,0.8487434308779868,149,35,40,47.5
2026,positive,3,0.7433871626853943,0,0,40,7.5
